Z ID,SMILES,RT,ECP
Z336085888,CC(=O)C=1C=NNC1C,0.596,1.2276
Z1098234194,CC=1C=CC=C(CCN)N1,0.1487,1.2488
Z8980935904,Cl.N[C@H](CO)CC=1C=CC(Cl)=C(Cl)C1,0.8601,1.3302
Z240087266,NC=1C=CC=C(C1)C(=O)NC=2C=CC=C(C#N)C2,0.7348,1.2926
Z1262625597,NC1=NC(=NS1)C(F)(F)F,0.7255,1.2476
Z1592042577,Cl.COC(C(C)N)C=1C=CC(F)=CC1,0.8313,1.3299
Z56756150,NC=1C(Cl)=CN=C(Cl)C1Cl,0.992,1.1606
Z5717708291,Cl.Cl.C1C[C@@H](CN1)N2C=NC=N2,0.1415,1.2883
Z764295208,CC(C)OC=1C=CC=C(C1)C(O)CN,0.5614,1.1794
Z376387576,COC=1C=CC(=CC1)N2N=NC(C(=O)O)=C2C,0.9718,1.2186
Z335286650,C(C1CCCN1)N2CCOCC2,0.1615,1.3101
Z839159806,CC(C)(C)OC(=O)NC=1C=CC(N)=CC1F,0.8241,1.087
Z9217737277,Cl.Cl.CC=1C=CN=C(CN)C1C,0.5399,1.3254
Z54628157,CNC=1N=CC(=CC1Cl)C(F)(F)F,1.3749,1.3426
Z3013805383,CC=1C=C(O)C=C(C1)N2CCCC2=O,0.9058,1.257
Z1209426390,C1CNCC2(C1)CCCC=3C=CC=CC32,0.8416,1.2294
Z8834055843,CC=1C=C(Br)C2=NSC=C2C1,1.3261,1.2903
Z1473962655,Cl.Cl.COC(=O)C=1C=CN=C(CN)C1,0.4415,1.3674
Z8269097779,"CN1CCNC[C@@H]2CCC[C@@H]21 |&1:6,10,r|",0.1587,1.1774
Z1037341424,OC(=O)C1=COC(=N1)C2CCOCC2,0.7052,1.214
Z1198235258,CNC1=NC(C(=O)N)=C(N)S1,0.3136,1.0658
Z798916718,CC1=NN=C(NC(=O)OCC(F)(F)F)S1,1.065,1.3637
Z56886302,CC(C)(C)C=1C=CC(=CC1)C2=CSC(NC(=O)CCl)=N2,1.4881,1.2583
Z1262546390,COC=1C(C)=CC=CC1CCC(=O)O,0.9759,1.1094
Z2734769646,Cl.CCOC=1C=CC(CNC)=CC1OCC,0.7531,1.2717
Z732680910,CC=1C=CC(=CC1)C=2C=CC=C(C2)C(=O)O,1.4296,1.3737
Z255149322,NC=1C=CC(OC=2C=CC=CC2Cl)=CC1,1.0326,1.2955
Z815261774,NC(CCC=1C=CC=CC1)CCC=2C=CC=CC2,1.0061,1.222
Z1269160032,BrC=1C=CC(=NN1)N2CCOCC2,0.9287,1.2999
Z9107105898,CS(=O)(=NCC1CNC1)C.OC(=O)C(F)(F)F,0.1376,1.3498
Z57051061,CCCOC=1C(Cl)=CC(C=O)=CC1OC,1.5177,1.3663
Z1269210839,CN1C(Br)=NC=C1C(=O)O,0.5558,1.1722
Z1269193248,BrC1=CNC(=O)C=2C=CC=NC12,0.7468,1.2509
Z324553608,O=C1NC(=O)N(C=C1C#N)C2CC2,0.5354,1.2171
Z1269151788,CC=1C=C(Br)C(N)=C(I)C1,1.3772,1.2009
Z3461928893,Br.CC1CNCCC=2C=CC(O)=CC12,0.3477,1.0929
Z1201621155,CC=1C=CC(F)=C(CC(=O)O)C1F,1.1191,1.3101
Z1203582474,NC1=NCCN1CC(=O)O,0.154,1.1676
Z2044769563,Cl.CC=1C=CC=2OCCNCC2C1,0.7012,1.3113
Z1741974078,COC=1C=CC=2N=C(O)C=C(O)C2C1,0.7936,1.0857
Z1509051726,Cl.CC(N)(CO)C(=O)O,0.1118,1.2184
Z4119667558,Cl.NS(=O)(=O)C=1C=CC=C2NCCCC12,0.5771,1.1774
Z5718019200,Cl.C([C@H]1CCCN1)N2C=NC=N2,0.1685,1.3111
Z5582384000,NC=1C=C(C=C(C1)C2=NN=NN2)C(=O)O,0.7053,1.3783
Z382701660,NC=1C=CC(=CC1C(F)(F)F)N2N=CC=N2,1.1881,1.2369
Z991513564,CS(=O)(=O)C1(CN)CCOCC1,0.1361,1.2509
Z1255447685,OC=1C=CC=NC1C(F)(F)F,0.7012,1.1767
Z277969616,COC=1C=CC(CNC(=S)N)=CC1,0.8774,1.2477
Z1269191653,NC=1C(F)=CC(Br)=CC1C#N,1.218,1.3191
Z8763127006,Cl.NC=1C=CC=C(C1)C2=CSN=N2,0.7496,1.3253
Z2587766214,CN(C)C(=O)/C=C/C(=O)O,0.3325,1.0925
Z1741968312,Cl.NCC=1C=CC(CO)=CC1,0.2217,1.3384
Z1013754072,NC1=NC=2C(F)=CC(F)=CC2O1,1.0235,1.3686
Z4884392169,COC(=O)C1=CC=C2C(N)=NC=NN12,0.8578,1.3483
Z3445688575,Br.CC=1C=CC(=O)NC1N,0.4266,1.1672
Z2739963631,Cl.CNS(=O)(=O)C=1C=CC(CCN)=CC1,0.3065,1.2552
Z56922073,O=C(CC1=NC=2C=CC=CC2S1)C=3C=CC=CC3,1.2676,1.1286
Z8853090950,NC(CC=1C=CC(OS(=O)(=O)F)=CC1)C(=O)O.OC(=O)C(F)(F)F,0.6554,1.1683
Z8578921648,Br.CC(=O)NC1(C)CNC1,0.1639,1.356
Z1203579242,NC=1C=C(F)N=C(F)C1,0.6687,1.3298
Z2182034531,COC(=O)C=1SC(=CC1N)C(=O)O,0.8564,1.2273
Z1464058919,BrC=1C=CC=CC1N2CCCC2,1.3672,1.2725
Z3488454969,[K+].CNC(=O)CC(=O)[O-],0.1531,1.0339
Z3024172927,COC(=O)C1=NNC(N)=C1C,0.6629,1.3146
Z1198169193,CC=1C=CC(O)=C(Br)N1,0.8624,1.3111
Z8954060038,Cl.CNC=1C=CC(Br)=C(Br)C1,1.0697,0.9735
Z3071742654,Cl.NCC=1C=CC=C(C1)C(=O)NC2CCC(=O)NC2=O,0.2783,1.2481
Z3213740225,Cl.CC(N)C=1C=CC(Br)=C(F)C1,0.828,1.3299
Z1416194621,CCC=1C=CC(C)=C(O)C1,0.9896,1.1591
Z424733406,CCS(=O)(=O)C=1C=CC(CC(=O)O)=CC1,0.7803,1.2265
Z8862509548,Cl.Cl.C1CC=2N=C(SC2C1)C3CCNCC3,0.7202,1.2898
Z2050688211,Cl.NC1CCC2(CC1)NC(=O)NC2=O,0.1191,1.2171
Z56928905,CCCCN1C(N)=C(N(CCOC)C(=O)CCl)C(=O)NC1=O,0.729,1.1476
Z56917399,CC(CC1=NN=C(S)O1)C=2C=CC=CC2,1.1602,1.2169
Z1255491673,NC=1N=CC(Br)=C(N)N1,0.2175,1.3744
Z166630212,O=C1NC(=O)N2CCCCC21,0.6167,1.2148
Z1495385227,Cl.C(CC1CCCCN1)CC=2C=CC=CC2,0.6373,1.0298
Z8630719524,Cl.NCC=1C=CC(OS(=O)(=O)F)=CC1,0.7116,1.2971
Z1269163119,BrC=1C=C2NN=CC2=NC1Br,1.1336,1.3384
Z1269113277,NC(=O)C=1C=C(O)C=C(Br)C1,0.7115,1.1338
Z382723654,CC(C)C1=NC(C)=C(S1)C(=O)O,1.0164,1.2993
Z53037926,OC(=O)C=1C=C(C(Cl)=CC1Cl)S(=O)(=O)NCC=2C=CC=NC2,0.681,1.2222
Z1269153904,Br.ClC=1C=NC=CC1C(=O)CBr,1.1207,1.3399
Z2768171864,Cl.NNCCCC=1C=CC=CC1,0.6842,1.3285
Z1262560968,OC(=O)C=1C=NN2NCCCC12,0.5592,1.2904
Z9036134044,ClC1=NN=C2C(Br)=CC=C(Cl)N12,1.0046,1.3113
Z5385007103,Cl.CC=1C=C([N+](=O)[O-])C(C)=CC1N,1.1382,1.3279
Z223656290,OC(=O)C(CC=1C=CC=CC1)N2C=CC=C2,0.9765,1.0594
Z8840151145,NC(=O)C1CCC(N1)C(=O)N.OC(=O)C(F)(F)F,0.1214,1.1767
Z1269211663,BrC=1C=CC=2NC(=S)OC2C1,0.9217,1.0497
Z45415577,NS(=O)(=O)C=1C=CC=C(C1)C(F)(F)F,1.0554,1.3488
Z2690350435,CC(C)(C)OC(=O)N1CC2(C1)CC(=O)C3=NC=CN32,1.0606,1.3256
Z1198312689,COC=1C=CC=C(C#C)N1,1.1143,1.3125
Z332725638,CC(=O)N1CCC=2C=CC(N)=CC12,0.5381,1.2532
Z8914008850,Cl.CN1C=NC=C1CC(O)C(=O)O,0.1434,1.1773
Z3244818064,CC(Br)C=1C=CC=C(Br)N1,1.216,1.1698
Z1269238752,CN1C(=NNC1=O)C=2C=CC=C(Br)C2,1.0425,1.2723
Z1269166861,COC(=O)C=1C=CN=C(Cl)C1Br,1.2772,1.365
Z8598500399,CC(=O)O.NC(=N)C1CCS(=O)(=O)CC1,0.1532,1.2531
Z8759932079,Cl.COC=1C=C(Cl)C(Br)=CC1CN,0.9128,1.3666
Z56869469,ClCC(=O)N1CCC=2C=CC=CC12,0.9854,1.1261
Z2757550746,[Na+].CC(C)C=1C=CC(=CC1)S(=O)[O-],1.1121,1.3128
Z1198218781,CC=1C(N)=CC=C2NN=CC12,0.2151,1.3008
Z56780038,COC=1C=CC(NS(=O)(=O)C=2C=C(N)C=CC2N3CCCCC3)=CC1,1.1587,1.3296
Z57080378,CC=1C=CC=2N=C(C)C(=CC2C1)C(=O)O,0.7868,1.3689
Z90122571,OC(=O)C=1C=CC(=CC1)C(=O)C=2C=CC=CC2,1.2214,1.3298
Z56346812,CC=1C=C(Cl)C=CC1NC(=O)CCl,1.2258,1.3384
Z8844055745,"C[C@@H]1CNC[C@H]1C#C |&1:1,5,r|",0.1798,1.2364
Z425799570,NC=1C=CC=C(C1)N2C=CN=C2,0.3377,1.3644
Z2310673084,Cl.Cl.CC=1C=CC(=CN1)C(N)C(=O)O,0.1435,1.3161
Z4582191513,Cl.NCCC1=CC(Br)=NO1,0.264,1.257
Z7991206425,Cl.CC=1C=C(C)C(C)=C(CCN)C1C,0.9586,1.3115
Z1269206025,CNCC=1C=CN=C(Br)C1,0.2641,1.3192
Z1505702212,CC(C)(C)OC(=O)N1CCN2C(Br)=C(N=C2C1)C(=O)O,0.872,1.1247
Z5131160650,Br.OC(=O)C1(CCCN1)C(F)(F)F,0.1848,1.231
Z8992510681,Cl.Cl.CN1CCCNCC21CCOCC2,0.1064,1.0429
Z1947492701,CC=1N=C(OC1C(=O)O)C2=CN=CS2,0.8824,1.3234
Z2768184985,Cl.Cl.CC1=NC=2CCNCC2N1,0.1095,1.1308
Z56886336,O=C(CC#N)NC=1C=CC=CN1,0.4385,1.1438
Z9196212330,Br.Br.CC=1C=CN=C(CN)C1O,0.2301,1.3332
Z1695797890,Cl.CC(C)CNC=1C=C(F)C=C(F)C1,1.4726,1.2509
Z8913464274,Cl.COC1(C)CC(CN)C1,0.2129,1.0983
Z56813575,NC1=NN=C(S1)C2(CC3CC4CC(C3)C2)C4,1.1062,1.2171
Z4862000887,OC(=O)C1(CCC1)S(=O)C=2C=CC=CC2,0.8235,1.2303
